,month,bedrooms,number_of_reviews,review_scores_rating,neighborhood,num_comp,occ%,avg_price
8708,11,1,1,100,54,420,0.0,149
8709,12,1,1,100,54,420,0.0,149
8710,1,1,1,100,54,420,68.97,115
8711,2,1,1,100,54,420,96.43,115
8712,3,1,1,100,54,420,64.52,115
8713,4,1,1,100,54,420,90.0,115
8714,5,1,1,100,54,420,100.0,165
8715,6,1,1,100,54,420,100.0,165
8716,7,1,1,100,54,420,41.94,165
8717,8,1,1,100,54,420,100.0,165
8718,9,1,1,100,54,420,100.0,175
8719,10,1,1,100,54,420,100.0,175
8720,11,1,1,100,54,420,83.33,175
8721,12,1,1,100,54,420,74.19,175
8722,1,1,49,96,54,408,83.33,185
8723,2,1,49,96,54,408,0.0,169
8724,3,1,49,96,54,408,12.9,169
8725,4,1,49,96,54,408,0.0,169
8726,5,1,49,96,54,408,0.0,185
8727,6,1,49,96,54,408,76.67,189
8728,7,1,49,96,54,408,0.0,190
8729,8,1,49,96,54,408,16.13,189
8730,9,1,49,96,54,408,70.0,189
8731,10,1,49,96,54,408,93.55,189
8732,11,1,49,96,54,408,70.0,179
8733,12,1,49,96,54,408,25.81,179
8734,1,1,26,98,54,408,100.0,169
8735,2,1,26,98,54,408,100.0,169
8736,3,1,26,98,54,408,100.0,169
8737,4,1,26,98,54,408,100.0,169
8738,5,1,26,98,54,408,100.0,169
8739,6,1,26,98,54,408,50.0,84
8740,7,1,26,98,54,408,0.0,169
8741,8,1,26,98,54,408,0.0,169
8742,9,1,26,98,54,408,20.0,169
8743,10,1,26,98,54,408,25.81,169
8744,11,1,26,98,54,408,0.0,169
8745,12,1,26,98,54,408,0.0,169
8746,1,1,5,100,54,408,0.0,180
8747,2,1,5,100,54,408,0.0,180
8748,3,1,5,100,54,408,0.0,179
8749,4,1,5,100,54,408,3.33,179
8750,5,1,5,100,54,408,0.0,179
8751,6,1,5,100,54,408,3.33,189
8752,7,1,5,100,54,408,0.0,189
8753,8,1,5,100,54,408,0.0,189
8754,9,1,5,100,54,408,100.0,158
8755,10,1,5,100,54,408,100.0,158
8756,11,1,5,100,54,408,100.0,158
8757,12,1,5,100,54,408,100.0,158
8758,1,1,28,72,54,408,33.33,150
8759,2,1,28,72,54,408,0.0,154
8760,3,1,28,72,54,408,87.1,140
8761,4,1,28,72,54,408,83.33,140
8762,5,1,28,72,54,408,96.77,140
8763,6,1,28,72,54,408,100.0,140
8764,7,1,28,72,54,408,90.32,140
8765,8,1,28,72,54,408,83.87,140
8766,9,1,28,72,54,408,100.0,160
8767,10,1,28,72,54,408,100.0,155
