,month,bedrooms,number_of_reviews,review_scores_rating,neighborhood,num_comp,occ%,avg_price,neighborhood2
218,9,1,18,92,Williamsburg,1248,0.0,180,71
219,10,1,18,92,Williamsburg,1248,100.0,180,71
220,11,1,18,92,Williamsburg,1248,100.0,180,71
221,12,1,18,92,Williamsburg,1248,63.33,180,71
222,1,1,32,84,Williamsburg,1248,96.77,245,71
223,2,1,32,84,Williamsburg,1248,100.0,218,71
224,3,1,32,84,Williamsburg,1248,100.0,218,71
225,4,1,32,84,Williamsburg,1248,100.0,218,71
226,5,1,32,84,Williamsburg,1248,93.55,210,71
227,6,1,32,84,Williamsburg,1248,96.67,225,71
228,7,1,32,84,Williamsburg,1248,80.65,225,71
229,8,1,32,84,Williamsburg,1248,83.87,225,71
230,9,1,32,84,Williamsburg,1248,73.33,225,71
231,10,1,32,84,Williamsburg,1248,83.87,225,71
232,11,1,32,84,Williamsburg,1248,33.33,199,71
233,12,1,32,84,Williamsburg,1248,-3.33,211,71
234,1,1,7,92,Williamsburg,1248,63.33,129,71
235,2,1,7,92,Williamsburg,1248,100.0,179,71
236,3,1,7,92,Williamsburg,1248,100.0,179,71
237,4,1,7,92,Williamsburg,1248,100.0,179,71
238,5,1,7,92,Williamsburg,1248,100.0,179,71
239,6,1,7,92,Williamsburg,1248,96.67,189,71
240,7,1,7,92,Williamsburg,1248,80.65,189,71
241,8,1,7,92,Williamsburg,1248,29.03,189,71
242,9,1,7,92,Williamsburg,1248,0.0,189,71
243,10,1,7,92,Williamsburg,1248,87.1,189,71
244,11,1,7,92,Williamsburg,1248,16.67,169,71
245,12,1,7,92,Williamsburg,1248,0.0,189,71
246,1,1,64,95,Williamsburg,1248,70.0,195,71
247,2,1,64,95,Williamsburg,1248,27.59,195,71
248,3,1,64,95,Williamsburg,1248,22.58,195,71
249,4,1,64,95,Williamsburg,1248,83.33,195,71
250,5,1,64,95,Williamsburg,1248,90.32,195,71
251,6,1,64,95,Williamsburg,1248,76.67,195,71
252,7,1,64,95,Williamsburg,1248,19.35,195,71
253,8,1,64,95,Williamsburg,1248,0.0,195,71
254,9,1,64,95,Williamsburg,1248,46.67,195,71
255,10,1,64,95,Williamsburg,1248,100.0,195,71
256,11,1,64,95,Williamsburg,1248,56.67,195,71
257,12,1,64,95,Williamsburg,1248,48.39,195,71
258,1,1,30,90,Williamsburg,1248,3.33,149,71
259,2,1,30,90,Williamsburg,1248,3.45,129,71
260,3,1,30,90,Williamsburg,1248,0.0,169,71
261,4,1,30,90,Williamsburg,1248,93.33,169,71
262,5,1,30,90,Williamsburg,1248,90.32,169,71
