,neighborhood,month,bedrooms,area,sub_area,max_price,min_price,median_price,mean_price
215,Boerum Hill,5,3,Brooklyn,Brooklyn,599,350,599,516
216,Boerum Hill,5,4,Brooklyn,Brooklyn,325,325,325,325
217,Boerum Hill,6,0,Brooklyn,Brooklyn,150,150,150,150
218,Boerum Hill,6,1,Brooklyn,Brooklyn,300,130,175,188
219,Boerum Hill,6,2,Brooklyn,Brooklyn,450,189,299,308
220,Boerum Hill,6,3,Brooklyn,Brooklyn,599,350,599,516
221,Boerum Hill,6,4,Brooklyn,Brooklyn,325,325,325,325
222,Boerum Hill,7,0,Brooklyn,Brooklyn,155,155,155,155
223,Boerum Hill,7,1,Brooklyn,Brooklyn,300,98,167,178
224,Boerum Hill,7,2,Brooklyn,Brooklyn,475,110,331,296
225,Boerum Hill,7,3,Brooklyn,Brooklyn,599,350,599,516
226,Boerum Hill,7,4,Brooklyn,Brooklyn,325,325,325,325
227,Boerum Hill,8,0,Brooklyn,Brooklyn,155,155,155,155
228,Boerum Hill,8,1,Brooklyn,Brooklyn,300,130,175,191
229,Boerum Hill,8,2,Brooklyn,Brooklyn,475,189,331,324
230,Boerum Hill,8,3,Brooklyn,Brooklyn,350,299,299,316
231,Boerum Hill,8,4,Brooklyn,Brooklyn,325,325,325,325
232,Boerum Hill,9,0,Brooklyn,Brooklyn,155,155,155,155
233,Boerum Hill,9,1,Brooklyn,Brooklyn,300,130,175,188
234,Boerum Hill,9,2,Brooklyn,Brooklyn,458,189,307,316
235,Boerum Hill,9,3,Brooklyn,Brooklyn,350,299,299,316
236,Boerum Hill,9,4,Brooklyn,Brooklyn,325,325,325,325
237,Boerum Hill,10,0,Brooklyn,Brooklyn,150,150,150,150
238,Boerum Hill,10,1,Brooklyn,Brooklyn,325,145,175,193
239,Boerum Hill,10,2,Brooklyn,Brooklyn,450,229,279,322
240,Boerum Hill,10,3,Brooklyn,Brooklyn,699,250,599,516
241,Boerum Hill,10,4,Brooklyn,Brooklyn,325,325,325,325
242,Boerum Hill,11,0,Brooklyn,Brooklyn,150,150,150,150
243,Boerum Hill,11,1,Brooklyn,Brooklyn,300,130,175,189
244,Boerum Hill,11,2,Brooklyn,Brooklyn,457,199,279,317
245,Boerum Hill,11,3,Brooklyn,Brooklyn,699,249,250,399
246,Boerum Hill,11,4,Brooklyn,Brooklyn,325,325,325,325
247,Boerum Hill,12,0,Brooklyn,Brooklyn,150,150,150,150
248,Boerum Hill,12,1,Brooklyn,Brooklyn,325,145,175,195
249,Boerum Hill,12,2,Brooklyn,Brooklyn,458,229,279,323
250,Boerum Hill,12,3,Brooklyn,Brooklyn,699,250,599,516
251,Boerum Hill,12,4,Brooklyn,Brooklyn,325,325,325,325
252,Borough Park,1,1,Brooklyn,Brooklyn,56,56,56,56
253,Borough Park,2,1,Brooklyn,Brooklyn,89,89,89,89
254,Borough Park,3,1,Brooklyn,Brooklyn,75,75,75,75
255,Borough Park,4,1,Brooklyn,Brooklyn,89,89,89,89
256,Borough Park,5,1,Brooklyn,Brooklyn,89,89,89,89
257,Borough Park,6,1,Brooklyn,Brooklyn,89,89,89,89
258,Borough Park,7,1,Brooklyn,Brooklyn,89,89,89,89
259,Borough Park,8,1,Brooklyn,Brooklyn,63,63,63,63
260,Borough Park,9,1,Brooklyn,Brooklyn,70,70,70,70
261,Borough Park,10,1,Brooklyn,Brooklyn,80,80,80,80
